id,original_title,title,original_language,overview,release_date,popularity,vote_average,budget,revenue,runtime,genre_names,collection,collection_name,release_year,release_month,release_day
882598,Smile,Smile,en,"witnessing bizarre, traumatic incident involving patient, dr. rose cotter starts experiencing frightening occurrences can't explain. overwhelming terror begins taking over life, rose must confront troubling past order survive escape horrifying new reality.",2022-09-23,1863.628,6.8,17000000,45000000,115,"Horror, Mystery, Thriller",,,2022,9,23
756999,The Black Phone,The Black Phone,en,"finney blake, shy clever 13-year-old boy, abducted sadistic killer trapped soundproof basement where screaming little use. disconnected phone wall begins ring, finney discovers can hear voices killer’s previous victims. dead set making sure what happened doesn’t happen finney.",2022-06-22,1071.398,7.9,18800000,161000000,103,"Horror, Thriller",,,2022,6,22
717728,Jeepers Creepers: Reborn,Jeepers Creepers: Reborn,en,"forced travel boyfriend horror festival, laine begins experience disturbing visions associated urban legend creeper. festival arrives blood-soaked entertainment builds frenzy, becomes center while something unearthly been summoned.",2022-09-15,821.605,5.8,20000000,2892594,88,"Horror, Mystery, Thriller",94899.0,Jeepers Creepers Collection,2022,9,15
762504,Nope,Nope,en,"residents lonely gulch inland california bear witness uncanny, chilling discovery.",2022-07-20,733.112,7.0,68000000,170800000,130,"Horror, Mystery, Science Fiction, Thriller",,,2022,7,20
760104,X,X,en,"1979, group young filmmakers set make adult film rural texas, reclusive, elderly hosts catch act, cast find themselves fighting lives.",2022-03-17,543.67,6.8,10000000,14257609,106,"Horror, Mystery, Thriller",950289.0,X Collection,2022,3,17
25853,Dahmer,Dahmer,en,"february 15, 1992 milwaukee, wisconsin, jeffrey dahmer, world's most infamous serial killers, convicted 15 counts murder sentenced 937 years federal prison. movie based events life.",2002-06-21,378.39,5.2,250000,144008,101,"Drama, Horror",,,2002,6,21
610253,Halloween Kills,Halloween Kills,en,"nightmare isn't over unstoppable killer michael myers escapes laurie strode's trap continue ritual bloodbath. injured taken hospital, laurie fights through pain inspires residents haddonfield, rise against myers. taking matters own hands, strode women other survivors form vigilante mob hunt michael end reign terror once all.",2021-10-14,315.027,6.7,20000000,131647155,105,"Horror, Thriller",91361.0,Halloween Collection,2021,10,14
646385,Scream,Scream,en,"twenty-five years streak brutal murders shocked quiet town woodsboro, new killer donned ghostface mask begins targeting group teenagers resurrect secrets town’s deadly past.",2022-01-12,291.196,6.7,24000000,140000000,114,"Horror, Mystery, Thriller",2602.0,Scream Collection,2022,1,12
21208,Orphan,Orphan,en,"losing baby, married couple adopt 9-year old esther, may not innocent seems.",2009-07-24,265.858,7.0,20000000,77912251,123,"Horror, Mystery, Thriller",760193.0,Orphan Collection,2009,7,24
55341,Jeepers Creepers 3,Jeepers Creepers 3,en,"taking place last day creeper’s twenty-three-day feeding frenzy, skeptical sergeant tubbs teams task force hellbent destroying creeper good. creeper fights back gory glory its enemies grow closer than ever before learning secret its dark origins.",2017-09-26,246.189,4.9,6200000,3600000,100,"Horror, Mystery, Thriller",94899.0,Jeepers Creepers Collection,2017,9,26
423108,The Conjuring: The Devil Made Me Do It,The Conjuring: The Devil Made Me Do It,en,"paranormal investigators ed lorraine warren encounter what would become most sensational cases files. fight soul young boy takes beyond anything they'd ever seen before, mark first time u.s. history murder suspect would claim demonic possession defense.",2021-05-25,246.13,7.6,39000000,201000000,111,"Horror, Mystery, Thriller",313086.0,The Conjuring Collection,2021,5,25
460458,Resident Evil: Welcome to Raccoon City,Resident Evil: Welcome to Raccoon City,en,"once booming home pharmaceutical giant umbrella corporation, raccoon city now dying midwestern town. company’s exodus left city wasteland…with great evil brewing below surface. evil unleashed, townspeople forever…changed…and small group survivors must work together uncover truth behind umbrella make through night.",2021-11-24,245.332,6.1,40000000,38600612,107,"Action, Horror, Science Fiction",,,2021,11,24
474350,It Chapter Two,It Chapter Two,en,"27 years overcoming malevolent supernatural entity pennywise, former members losers' club, grown moved away derry, brought back together devastating phone call.",2019-09-04,230.451,6.9,79000000,473122525,170,"Fantasy, Horror",477962.0,It Collection,2019,9,4
632357,The Unholy,The Unholy,en,"alice young hearing-impaired girl who, supposed visitation virgin mary, inexplicably able hear, speak heal sick. word spreads people near far flock witness miracles, disgraced journalist hoping revive career visits small new england town investigate. terrifying events begin happen all around, starts question if these phenomena works virgin mary or something much more sinister.",2021-03-31,207.113,6.7,10000000,30833138,99,"Horror, Mystery",,,2021,3,31
602223,The Forever Purge,The Forever Purge,en,all rules broken sect lawless marauders decides annual purge does not stop daybreak instead should never end chase group immigrants want punish because harsh historical past.,2021-06-30,198.269,7.2,18000000,76994245,103,"Action, Horror, Thriller",256322.0,The Purge Collection,2021,6,30
482373,Don't Breathe 2,Don't Breathe 2,en,"blind been hiding several years isolated cabin taken raised young girl orphaned devastating house fire. quiet life together shattered group criminals kidnap girl, forcing blind leave safe haven save her.",2021-08-12,196.003,7.3,10000000,45000000,98,"Horror, Thriller",748919.0,Don't Breathe Collection,2021,8,12
8922,Jeepers Creepers,Jeepers Creepers,en,brother sister driving home through isolated countryside college encounter flesh-eating creature midst its ritualistic eating spree.,2001-07-01,195.983,6.4,10000000,59217789,90,"Horror, Thriller",94899.0,Jeepers Creepers Collection,2001,7,1
